pair_id,filter_name,similarity_score,true_label,model_name
0,original,0.43903002,1,adaface
1,original,0.80438465,1,adaface
2,original,0.6815939,1,adaface
3,original,0.5886805,1,adaface
4,original,0.17924847,1,adaface
5,original,0.21842776,1,adaface
6,original,0.8058572,1,adaface
7,original,0.5370803,1,adaface
8,original,0.26218534,1,adaface
9,original,0.68759775,1,adaface
10,original,0.46683228,1,adaface
11,original,0.37561312,1,adaface
12,original,0.6228803,1,adaface
13,original,0.66864157,1,adaface
14,original,0.35922042,1,adaface
15,original,0.4883805,1,adaface
16,original,0.7684931,1,adaface
17,original,0.55355704,1,adaface
18,original,0.51823753,1,adaface
19,original,0.2936201,1,adaface
20,original,0.28989783,1,adaface
21,original,0.39264315,1,adaface
22,original,0.61814153,1,adaface
23,original,0.49131408,1,adaface
24,original,0.07600075,1,adaface
25,original,0.44497174,1,adaface
26,original,0.36432913,1,adaface
27,original,0.6064035,1,adaface
28,original,0.4764482,1,adaface
29,original,0.44015738,1,adaface
30,original,0.48809937,1,adaface
31,original,0.6126693,1,adaface
32,original,0.52973443,1,adaface
33,original,0.6093066,1,adaface
34,original,0.24758208,1,adaface
35,original,0.5395996,1,adaface
36,original,0.7632252,1,adaface
37,original,0.4449427,1,adaface
38,original,0.46499795,1,adaface
39,original,0.5969976,1,adaface
40,original,0.58303326,1,adaface
41,original,0.64235145,1,adaface
42,original,0.73458755,1,adaface
43,original,0.27128676,1,adaface
44,original,0.30646238,1,adaface
45,original,0.5945164,1,adaface
46,original,0.65691507,1,adaface
47,original,0.4273126,1,adaface
48,original,0.6378515,1,adaface
49,original,0.6623616,1,adaface
50,original,0.45435834,1,adaface
51,original,0.50181687,1,adaface
52,original,0.5553163,1,adaface
53,original,0.2538918,1,adaface
54,original,0.5081908,1,adaface
55,original,0.49138254,1,adaface
56,original,0.69422853,1,adaface
57,original,0.8001154,1,adaface
58,original,0.39864784,1,adaface
59,original,0.1410184,1,adaface
60,original,0.48095807,1,adaface
61,original,0.41074607,1,adaface
62,original,0.39869404,1,adaface
63,original,0.5178432,1,adaface
64,original,0.7135775,1,adaface
65,original,0.6385606,1,adaface
66,original,0.5129396,1,adaface
67,original,0.59730035,1,adaface
68,original,0.53334045,1,adaface
69,original,0.5132526,1,adaface
70,original,0.43423912,1,adaface
71,original,0.5215252,1,adaface
72,original,0.3554223,1,adaface
73,original,0.4403484,1,adaface
74,original,0.4916159,1,adaface
75,original,0.7313537,1,adaface
76,original,0.40216744,1,adaface
77,original,0.6232366,1,adaface
78,original,0.3672484,1,adaface
79,original,0.47071037,1,adaface
80,original,0.5047391,1,adaface
81,original,0.33198735,1,adaface
82,original,0.6589923,1,adaface
83,original,0.51331484,1,adaface
84,original,0.5013429,1,adaface
85,original,0.37907198,1,adaface
86,original,0.44149104,1,adaface
87,original,0.5122632,1,adaface
88,original,0.46278507,1,adaface
89,original,0.29438034,1,adaface
90,original,0.61672705,1,adaface
91,original,0.45928863,1,adaface
92,original,0.22874056,1,adaface
93,original,0.15623239,1,adaface
94,original,0.49700433,1,adaface
95,original,0.61120576,1,adaface
96,original,0.508916,1,adaface
97,original,0.4770546,1,adaface
98,original,0.37784585,1,adaface
99,original,0.5493221,1,adaface
100,original,0.543325,1,adaface
101,original,0.4464628,1,adaface
102,original,0.6057577,1,adaface
103,original,0.59710133,1,adaface
104,original,0.65399456,1,adaface
105,original,0.48549256,1,adaface
106,original,0.4387618,1,adaface
107,original,0.64078075,1,adaface
108,original,0.5993651,1,adaface
109,original,0.5355266,1,adaface
110,original,0.40081003,1,adaface
111,original,0.47739232,1,adaface
112,original,0.46737576,1,adaface
113,original,0.70553774,1,adaface
114,original,0.3421893,1,adaface
115,original,0.44855258,1,adaface
116,original,0.45412463,1,adaface
117,original,0.6676995,1,adaface
118,original,0.7437643,1,adaface
119,original,0.5443223,1,adaface
120,original,0.4765419,1,adaface
121,original,0.5242497,1,adaface
122,original,0.3955473,1,adaface
123,original,0.55666536,1,adaface
124,original,0.34144485,1,adaface
125,original,0.31545717,1,adaface
126,original,0.5003519,1,adaface
127,original,0.5210057,1,adaface
128,original,0.70927817,1,adaface
129,original,0.5414833,1,adaface
130,original,0.38431194,1,adaface
131,original,0.6255657,1,adaface
132,original,0.19460993,1,adaface
133,original,0.49327165,1,adaface
134,original,0.5596055,1,adaface
135,original,0.6736656,1,adaface
136,original,0.3121854,1,adaface
137,original,0.43803376,1,adaface
138,original,0.56752306,1,adaface
139,original,0.4382436,1,adaface
140,original,0.78664553,1,adaface
141,original,0.5808547,1,adaface
142,original,0.42274293,1,adaface
143,original,0.6608972,1,adaface
144,original,0.37053075,1,adaface
145,original,0.43862325,1,adaface
146,original,0.4160662,1,adaface
147,original,0.48345703,1,adaface
148,original,0.22334717,1,adaface
149,original,0.24800456,1,adaface
150,original,0.28863415,1,adaface
151,original,0.6817311,1,adaface
152,original,0.32855216,1,adaface
153,original,0.7054166,1,adaface
154,original,0.45765004,1,adaface
155,original,0.71407914,1,adaface
156,original,0.21116449,1,adaface
157,original,0.47214296,1,adaface
158,original,0.24840501,1,adaface
159,original,0.47251034,1,adaface
160,original,0.2880987,1,adaface
161,original,0.90650487,1,adaface
162,original,0.5471343,1,adaface
163,original,0.544962,1,adaface
164,original,0.76395106,1,adaface
165,original,0.8499746,1,adaface
166,original,0.69238394,1,adaface
167,original,0.5268652,1,adaface
168,original,0.33221564,1,adaface
169,original,0.24747394,1,adaface
170,original,0.45439774,1,adaface
171,original,0.24375239,1,adaface
172,original,0.44051003,1,adaface
173,original,0.4508558,1,adaface
174,original,0.67417186,1,adaface
175,original,0.54980004,1,adaface
176,original,0.640563,1,adaface
177,original,0.55035484,1,adaface
178,original,0.596908,1,adaface
179,original,0.38472772,1,adaface
180,original,0.4332095,1,adaface
181,original,0.22833078,1,adaface
182,original,0.09668664,1,adaface
183,original,0.06515434,1,adaface
184,original,0.2829313,1,adaface
185,original,0.47558382,1,adaface
186,original,0.69245607,1,adaface
187,original,0.18718347,1,adaface
188,original,0.40496162,1,adaface
189,original,0.41984215,1,adaface
190,original,0.5244478,1,adaface
191,original,0.66228676,1,adaface
192,original,0.491106,1,adaface
193,original,0.63951695,1,adaface
194,original,0.7006162,1,adaface
195,original,0.6743686,1,adaface
196,original,0.48085654,1,adaface
197,original,0.5489787,1,adaface
198,original,0.35379866,1,adaface
199,original,0.647468,1,adaface
200,original,0.5668914,1,adaface
201,original,0.37210947,1,adaface
202,original,0.25969368,1,adaface
203,original,0.63290703,1,adaface
204,original,0.5123807,1,adaface
205,original,0.60599905,1,adaface
206,original,0.48059267,1,adaface
207,original,0.4294002,1,adaface
208,original,0.5399063,1,adaface
209,original,0.48021668,1,adaface
210,original,0.38407,1,adaface
211,original,0.6363593,1,adaface
212,original,0.7718498,1,adaface
213,original,0.6127518,1,adaface
214,original,0.18553312,1,adaface
215,original,0.4641763,1,adaface
216,original,0.6761695,1,adaface
217,original,0.58116347,1,adaface
218,original,0.34274828,1,adaface
219,original,0.5820871,1,adaface
220,original,0.48211336,1,adaface
221,original,0.09913428,1,adaface
222,original,0.38342628,1,adaface
223,original,0.4205001,1,adaface
224,original,0.30770054,1,adaface
225,original,0.42214742,1,adaface
226,original,0.466219,1,adaface
227,original,0.64146864,1,adaface
228,original,0.5839818,1,adaface
229,original,0.64271235,1,adaface
230,original,0.65548044,1,adaface
231,original,0.5939043,1,adaface
232,original,0.651346,1,adaface
233,original,0.38140866,1,adaface
234,original,0.4488519,1,adaface
235,original,0.5570324,1,adaface
236,original,0.21000281,1,adaface
237,original,0.44432056,1,adaface
238,original,0.21384244,1,adaface
239,original,0.6998888,1,adaface
240,original,0.2780225,1,adaface
241,original,0.6310012,1,adaface
242,original,0.21200956,1,adaface
243,original,0.45813924,1,adaface
244,original,0.49160346,1,adaface
