pair_id,filter_name,similarity_score,true_label,model_name
0,original,0.36226293,1,arcface
1,original,0.8589332,1,arcface
2,original,0.70503086,1,arcface
3,original,0.7815201,1,arcface
4,original,0.079281114,1,arcface
5,original,0.06740845,1,arcface
6,original,0.9450971,1,arcface
7,original,0.9185687,1,arcface
8,original,0.8559116,1,arcface
9,original,0.95814276,1,arcface
10,original,0.9860031,1,arcface
11,original,0.84227735,1,arcface
12,original,0.9814811,1,arcface
13,original,0.98673373,1,arcface
14,original,0.96081525,1,arcface
15,original,0.9551596,1,arcface
16,original,0.9809465,1,arcface
17,original,0.9161174,1,arcface
18,original,0.9253204,1,arcface
19,original,0.71062064,1,arcface
20,original,0.9853096,1,arcface
21,original,0.9850347,1,arcface
22,original,0.9707591,1,arcface
23,original,0.98997337,1,arcface
24,original,0.74859303,1,arcface
25,original,0.98234504,1,arcface
26,original,0.9565071,1,arcface
27,original,0.9642037,1,arcface
28,original,0.9649714,1,arcface
29,original,0.958561,1,arcface
30,original,0.93674064,1,arcface
31,original,0.97813344,1,arcface
32,original,0.9768084,1,arcface
33,original,0.97009236,1,arcface
34,original,0.98470885,1,arcface
35,original,0.9685576,1,arcface
36,original,0.9219195,1,arcface
37,original,0.9883224,1,arcface
38,original,0.9848601,1,arcface
39,original,0.98060006,1,arcface
40,original,0.9475945,1,arcface
41,original,0.9803782,1,arcface
42,original,0.92896706,1,arcface
43,original,0.98602605,1,arcface
44,original,0.9374105,1,arcface
45,original,0.9693927,1,arcface
46,original,0.91111845,1,arcface
47,original,0.98974305,1,arcface
48,original,0.9438649,1,arcface
49,original,0.7877668,1,arcface
50,original,0.9668441,1,arcface
51,original,0.935146,1,arcface
52,original,0.9419673,1,arcface
53,original,0.9479853,1,arcface
54,original,0.8062269,1,arcface
55,original,0.9719063,1,arcface
56,original,0.9786053,1,arcface
57,original,0.9858833,1,arcface
58,original,0.95597464,1,arcface
59,original,0.9476293,1,arcface
60,original,0.98896134,1,arcface
61,original,0.9769214,1,arcface
62,original,0.94753635,1,arcface
63,original,0.83027494,1,arcface
64,original,0.8504413,1,arcface
65,original,0.9893369,1,arcface
66,original,0.98877454,1,arcface
67,original,0.98264337,1,arcface
68,original,0.9671422,1,arcface
69,original,0.97885525,1,arcface
70,original,0.9680328,1,arcface
71,original,0.9896248,1,arcface
72,original,0.98672473,1,arcface
73,original,0.89680856,1,arcface
74,original,0.85921234,1,arcface
75,original,0.9274843,1,arcface
76,original,0.97974664,1,arcface
77,original,0.9335159,1,arcface
78,original,0.916732,1,arcface
79,original,0.94852364,1,arcface
80,original,0.9847232,1,arcface
81,original,0.93553036,1,arcface
82,original,0.9812922,1,arcface
83,original,0.96982515,1,arcface
84,original,0.9842456,1,arcface
85,original,0.9890624,1,arcface
86,original,0.90816265,1,arcface
87,original,0.9884118,1,arcface
88,original,0.9750708,1,arcface
89,original,0.9158017,1,arcface
90,original,0.97444236,1,arcface
91,original,0.97399,1,arcface
92,original,0.9779468,1,arcface
93,original,0.823153,1,arcface
94,original,0.90662944,1,arcface
95,original,0.96428543,1,arcface
96,original,0.97035915,1,arcface
97,original,0.9411592,1,arcface
